n_samples,mean,std,min,max,diff_std,skew,kurtosis,n_peaks,hr_mean,rr_mean,rr_std,rmssd,pnn50,subject,label,warmup_sec,filtered
4275,12.498629913365415,10867.233095065376,-157106.56049337913,197821.44477378644,3878.1740267733467,4.217908026574851,143.3913689295961,264,92.50086463102237,0.6486425855513308,0.09054525165417127,0.09951466192944283,0.11026615969581749,subject01,바른 자세로 앉기 / upright-sitting,5,True
4275,3.617747313265093,2631.281309912399,-17975.174272372024,17445.16648121697,968.3255544535172,0.15115481439023673,7.226645692414991,248,87.16570306021019,0.688344129554656,0.09319236448079679,0.11412398763119667,0.1902834008097166,subject01,서 있기 / standing,5,True
4275,-1.3893524643458897,6016.710760378511,-33918.30309785583,32085.17309711512,2304.1499678585433,0.43243593366619165,1.3049906143173842,232,81.33182327639322,0.7377186147186148,0.1215646677343834,0.12841891368215333,0.16017316017316016,subject01,반듯이 눕기 / supine-lying,5,True
4275,-8.582438189640209,3145.2212978297503,-24075.886725265213,17771.823289536824,1186.9624488221818,-0.0970828242917382,4.628785456873363,228,80.29997523789311,0.7471982378854625,0.06717378603245912,0.07965067538003413,0.21585903083700442,subject01,바른 자세로 앉기 / upright-sitting,5,True
4275,-33.61157897728834,4396.338525073754,-38080.69119792861,27156.73505065469,1126.3597705683187,-1.4561481684014657,17.840687854014007,223,78.46648679854377,0.7646576576576577,0.14276582574243332,0.187539389527732,0.3063063063063063,subject01,서 있기 / standing,5,True
4275,-4.991523094258183,4116.22605829027,-15616.637162075964,15876.541105358094,1460.246060161436,0.5408145444859176,0.41853080910543294,221,77.52393257767076,0.7739545454545453,0.14115896173937678,0.14555728210718016,0.2545454545454545,subject01,반듯이 눕기 / supine-lying,5,True
4275,-12.656969463593821,4654.968466756331,-27455.409287633673,35341.14354249825,1631.0472030021665,0.6102119515991612,5.18819227909677,223,78.58546168958742,0.7635000000000001,0.08324384835102405,0.10951794828006554,0.18468468468468469,subject01,바른 자세로 앉기 / upright-sitting,5,True
4275,-7.738850838064939,5158.737353673312,-33060.079339342985,25719.39300054091,1701.8482464262609,-0.12197405720167508,4.860249440903754,234,82.27159040753273,0.7292918454935623,0.11583312983701506,0.14495037795385537,0.3648068669527897,subject01,서 있기 / standing,5,True
4275,12.772140907650567,6200.106750817161,-26019.269336465615,27016.498189055324,2306.6306877363613,0.5776984291878294,-0.08471545736300934,216,75.61503156487946,0.793493023255814,0.1215115984421907,0.11293671207618645,0.16744186046511628,subject01,반듯이 눕기 / supine-lying,5,True
4275,0.7083899840006609,3317.866423435551,-19026.318503095084,18234.089111228222,990.4889233506967,0.4383460744657585,4.9975729141461205,223,78.47388327893576,0.7645855855855858,0.13297083392649509,0.17459310161407213,0.46846846846846846,subject02,바른 자세로 앉기 / upright-sitting,5,True
4275,13.62234817726835,4546.327894643561,-19113.244929829223,18179.38451589779,1392.1689691273975,0.315845517989042,0.5718315654880124,196,68.72690746538689,0.873020512820513,0.13178611105273452,0.16324218299593507,0.3435897435897436,subject02,반듯이 눕기 / supine-lying,5,True
4275,-1.7615854102276365,4884.714776761766,-28155.68596019593,48758.70703855548,1475.366105291857,0.9366052266423854,10.543281686818016,195,68.16145598491546,0.8802628865979383,0.15005912224515755,0.16482161813035573,0.4329896907216495,subject02,반듯이 눕기 / supine-lying,5,True
4275,7.125275332784078,4854.743890869548,-27671.58802311269,26317.396706522704,1519.529764222653,-0.03874471118398318,4.545701019225723,235,82.56346625424138,0.7267136752136751,0.17539688592094874,0.2125201126558656,0.5555555555555556,subject02,바른 자세로 앉기 / upright-sitting,5,True
4275,-7.589288409542268,4857.447633362533,-39143.3131659913,22013.843380109964,1345.191430948422,-0.5368533970234761,7.220912804655045,225,79.03325394725236,0.7591741071428572,0.19495730084043664,0.2629536097810049,0.59375,subject02,서 있기 / standing,5,True
4275,3.5982935526513793,4988.007070516142,-40979.18330957934,27149.673919175173,1330.3423861876931,-0.19205148960349697,7.398022413555582,221,77.61875080852865,0.773009090909091,0.22824119998786552,0.28758992240744397,0.7318181818181818,subject02,서 있기 / standing,5,True
10075,1.4327170244160778,4386.07813587513,-24066.700662425174,24719.729254469883,1256.9467503742092,-0.08124944854027637,2.7168071952108743,527,78.41480837319088,0.765161596958175,0.15216554213559425,0.204769445265366,0.5171102661596958,subject02,바른 자세로 앉기 / upright-sitting,5,True
15075,2.1922260867054333,4672.774927557649,-37161.586412402554,23605.57052626052,1497.1716226503572,0.09486396315393732,3.2243019084351054,739,73.4506198847482,0.8168753387533876,0.16211668374328558,0.19857311898162233,0.453929539295393,subject02,반듯이 눕기 / supine-lying,5,True
11875,2.3294048165309764,3790.0569351497643,-28497.687974302953,30596.862486526916,1113.0672023227744,0.4417616441942774,7.942005058555459,604,76.12851368440545,0.7881409618573797,0.1359363267822169,0.18425941376619484,0.47761194029850745,subject02,서 있기 / standing,5,True
7475,-5.347839890822737,3682.7770640524004,-24315.761262312957,24093.28237448048,1058.1189861923444,-0.1986557865578402,7.055304757438625,396,79.61943923726592,0.7535848101265823,0.18588303051943858,0.2406312974652237,0.5569620253164557,subject02,서 있기 / standing,5,True
7275,-0.6428530018555991,3378.87521651261,-14666.24905546602,14139.642973104059,1057.7121866742925,0.19814742490358428,0.31541326639881007,360,74.43834300386706,0.8060362116991644,0.11383309544712804,0.14026537099967326,0.49025069637883006,subject02,바른 자세로 앉기 / upright-sitting,5,True
