,sum_sq,df,F,PR(>F)
C(label),483.31963603713194,2.0,3.7270524405588197,0.03256808889396259
C(subject),1517.3309597122586,6.0,3.900229189182346,0.0035833388580571272
Residual,2658.4151140292597,41.0,,
