,sum_sq,df,F,PR(>F)
C(label),0.318383341202465,2.0,9.302644566713452,0.0004663700831297656
C(subject),0.31043596846867877,6.0,3.0234784107324857,0.015342197081171842
Residual,0.7016132292106284,41.0,,
