,sum_sq,df,F,PR(>F)
C(label),0.4363855489625748,4.0,1.6500333356194632,0.17643016744597514
C(subject),1.1935271097410278,6.0,3.0085926275056996,0.013727728045419165
Residual,3.3058843383817527,50.0,,
