,sum_sq,df,F,PR(>F)
C(label),0.09109148046634505,4.0,2.3498836766833557,0.06680530457222605
C(subject),0.1730383934362408,6.0,2.9759101809421558,0.014552609883510132
Residual,0.4845531364498874,50.0,,
