,sum_sq,df,F,PR(>F)
C(label),16106.627753224891,4.0,1.019231575769423,0.40650227089352975
C(subject),217636.85074416854,6.0,9.181410854715176,8.911560842478969e-07
Residual,197533.9576418872,50.0,,
