dc,ac_amp,rms,skewness,kurtosis,zcr,hr,rmssd,sdnn,label
-444.64966130803145,204443.12399962678,19651.03992346544,-1.9984298207743258,13.933847745451803,0.10285714285714286,140.625,205.91260281974002,147.27148022916347,upright-sitting
-110.42658872087256,16073.393791163815,4272.1238622987,0.5807505530881472,-0.7139014322086994,0.12,147.23926380368098,167.17256553234645,140.86784586980806,upright-sitting
57.48440521389957,16729.78803376417,4612.628279130435,0.5204472104598348,-0.8738972724866607,0.12571428571428572,165.6441717791411,136.51115015868507,101.08058147150363,upright-sitting
-151.30728481881025,16678.981669118763,4456.664653944197,0.6299164676145547,-0.7089066142382188,0.12,175.32467532467533,129.4331533127065,84.56132262417978,upright-sitting
83.80553002793694,15414.627540531088,4018.78870597995,0.5272512521904421,-0.845729987595154,0.12571428571428572,185.1851851851852,27.529888064467414,17.435595774162696,upright-sitting
-140.26087726213237,14979.808291845948,4110.300023401762,0.6212224748729106,-0.7820295870171541,0.12,184.04907975460122,40.0,22.891046284519195,upright-sitting
101.66467899037194,16528.603292065935,4301.795957081052,0.5126182422371275,-0.9112396366046638,0.12571428571428572,163.63636363636363,167.19133104461662,106.87479694587597,upright-sitting
-1125.8873523169516,48674.786825141804,8393.653692891126,-1.0085138662953514,2.582846883589764,0.10285714285714286,179.24528301886792,62.53887679764573,37.18636154243304,upright-sitting
178.26311662106855,77371.09488504627,13199.240170123194,1.0504622752704438,3.33660001248702,0.09714285714285714,150.9433962264151,109.78767386794081,140.33442200686187,upright-sitting
-84.89396908133881,20529.17935501452,4297.891861306045,0.5044510522999464,-0.2387749535493655,0.13714285714285715,170.8860759493671,158.52259070777856,104.60979818613174,upright-sitting
-19.508679882690718,20529.17935501452,4113.553686313313,0.46062945509017567,-0.17459416592671984,0.12571428571428572,155.4878048780488,209.76176963403032,132.97761083242156,upright-sitting
-180.6672302486809,12689.995184857216,3036.9012292082266,0.4479338044420869,-0.6923860710628817,0.12,181.8181818181818,34.335803011158085,21.447610589527216,upright-sitting
27.780687151456025,11088.16321307472,2744.580154386491,0.43130717320545425,-0.7977212695878908,0.12,171.6867469879518,98.88264649460884,64.68333261363038,upright-sitting
