dc,ac_amp,rms,hr,rmssd,sdnn,pulse_width,label
9.888774965823453,9911.608080124424,1854.3130216844709,132.0754716981132,227.08859673975434,180.54339746262377,360.0,standing
-4.800014762440463,4111.235109979125,905.1464017409025,128.83435582822085,255.64398321463807,179.2729079091542,40.0,standing
9.842923225974308,3599.690482401954,763.1615514079463,140.625,232.256016376018,163.73420195209334,320.0,standing
24.14428584614987,3805.498593809268,889.3317548086983,125.74850299401197,259.94082166760717,187.29001847511296,240.0,standing
-43.1656554676265,4401.327132736444,965.5634478662477,137.2549019607843,201.53258946231156,169.34447443128505,200.0,standing
15.090647109581328,4487.237111316265,917.8151374189802,152.69461077844312,199.49937343260004,140.07412768129143,40.0,standing
23.43981335964662,32973.78213284971,4909.89795473413,119.56521739130434,232.20680437919987,178.3672504499014,40.0,standing
41.69935615399359,6380.339807890989,1326.414543882665,108.55263157894737,247.2245942457991,205.96076012372797,320.0,standing
-132.59080809527157,7066.19567741338,1550.0505738456852,144.23076923076923,389.5785268356414,231.30931671681537,40.0,standing
91.80920128351235,51030.59722057455,8368.61855863318,96.7741935483871,479.8147790785755,361.88395930187346,40.0,standing
-693.6955486384013,25760.01896148768,4737.0205345405275,121.62162162162163,344.0930106817051,209.9735433069816,1280.0,standing
-20.405123402643383,5923.739465473794,1233.9855947231413,91.46341463414635,188.0898130622118,179.06423428479513,40.0,standing
-90.40189600238507,2975.014670077336,659.4576917867232,121.875,311.7691453623979,210.13379789493996,160.0,standing
31.345444898388358,16960.347379274648,2619.6473895860304,90.60402684563759,481.24837662063857,320.6166897221588,280.0,standing
732.4481584437818,54051.36286767389,7707.021698910926,75.0,395.1130037271435,352.1363372331802,40.0,standing
-389.0850633905153,60568.63192723815,12700.21079490656,73.52941176470588,398.9987468652001,540.5774690088368,600.0,standing
99.28095447331101,48509.76965982834,7202.291257904352,110.42944785276073,499.454247608873,338.01709358485937,40.0,standing
72.27533192089524,6287.830462566135,1423.088481032617,127.27272727272727,201.53258946231156,177.07371922681335,440.0,standing
9.813917169896298,10134.275329931505,1816.5976371084994,117.46987951807229,209.12516188477497,226.90091156414303,160.0,standing
-267.23558673055584,40713.88828486159,6486.953235444434,66.0377358490566,465.3314231097373,425.32100722122044,160.0,standing
98.79573423200138,17899.28408962243,3520.274787335625,159.8360655737705,187.9716290649558,143.3991408951513,40.0,standing
6.473084446706728,8031.868192366757,1586.6388821477697,140.35087719298247,222.47097188921825,168.94895678872953,40.0,standing
-30.28038511892702,10521.041585077488,2219.611914737945,120.0,236.33566268031885,184.39088914585776,240.0,standing
101.6661488617489,7215.475200327493,1476.6702343845332,135.5421686746988,252.0770857155746,173.72263973229153,200.0,standing
-202.12883319403073,11223.988830705282,1679.1913346655226,124.20382165605095,334.66401061363024,232.42483037564625,520.0,standing
39.84790520279611,32477.194123056423,4947.62151110901,96.15384615384616,508.7675740890377,341.3854126936299,40.0,standing
-283.88562850596594,29033.562112089927,4858.364953671696,128.90625,244.29490375363952,220.59274019059058,1720.0,standing
-29.918199546954845,4807.201892365567,1127.4467592169833,155.4878048780488,204.20577856662138,151.5045650071082,200.0,standing
445.9002819570515,12544.462074639021,3419.1951621818407,102.48447204968943,222.35107375499675,191.6608574997009,1000.0,upright-sitting
-150.44196064896155,11300.101694793688,2808.4996930803854,142.85714285714286,256.6050542100717,150.99668870541498,1000.0,upright-sitting
-34.87264112228877,11065.800977058254,2466.182437471317,140.93959731543623,210.78607456558709,156.83085910415377,320.0,upright-sitting
-85.58782254259971,11634.302596934584,2386.3256316285433,151.78571428571428,209.04544960366871,128.61788582321364,40.0,upright-sitting
33.474361291499164,11048.751082794864,2723.0496261950293,107.84313725490196,297.9932885150268,204.99546457389678,240.0,upright-sitting
-116.2182727717835,17723.75251368997,2988.5713296001572,103.77358490566039,301.72835465033774,232.8408813611945,520.0,upright-sitting
-205.24380346515133,11720.41932249321,2554.520522929862,105.09554140127389,310.6122985330748,208.25921546583785,240.0,upright-sitting
-71.39200422132785,11453.681298395471,2642.211859122978,151.8987341772152,175.8787461103056,113.90785749894518,120.0,upright-sitting
198.80644952139502,15372.242744709936,3002.320714270712,126.50602409638554,278.01494149111426,186.30674727886978,600.0,upright-sitting
-37.704517306546755,6683.9821951926915,1466.8922899436282,128.28947368421052,232.379000772445,172.85626960231556,40.0,upright-sitting
98.05923643409498,18187.33724162198,2896.9397582851666,100.60975609756098,376.0850967533811,267.21706284907395,40.0,upright-sitting
63.39236558662031,18187.33724162198,2885.7790168397846,126.92307692307692,229.08513701242165,167.82517467948114,1160.0,upright-sitting
-3.8307046619326774,7094.770594894189,1670.7810874345853,125.0,271.0473513367483,184.30743546919305,280.0,upright-sitting
14.778341588681744,6118.084496401876,1599.402742215456,128.28947368421052,263.0589287593181,181.87712869085107,240.0,upright-sitting
15.786539193555166,6073.7929367566585,1578.0684012690538,157.4074074074074,167.92855623746667,114.8852293245525,280.0,upright-sitting
-33.6391789592088,6899.410093006647,1688.1026480654032,136.36363636363637,233.9719152865513,157.98734126505198,40.0,upright-sitting
-38.889193703743764,7419.9613458735,2171.5056991442857,107.84313725490196,298.7975903517296,212.6573311594683,240.0,upright-sitting
-72.21866051575326,9023.193473893287,2078.6324400177577,107.84313725490196,315.2142128775287,204.28468225728201,280.0,upright-sitting
-8.949416167890849,6864.63712690839,1796.6775065854874,120.37037037037037,318.5383284106744,213.75205455948807,320.0,upright-sitting
-0.49292783055396283,7864.753549620789,1855.1763589412774,93.10344827586206,254.55844122715712,180.3152246675626,40.0,upright-sitting
