,p_value
pnn50,2.675590965306368e-08
rmssd,4.4118546176624273e-07
rr_mean,5.31360872256978e-07
hr_mean,2.119667466071119e-06
n_peaks,3.2416645503773127e-06
rr_std,1.3393318137215372e-05
min,0.007568479297557959
skew,0.018443388750430605
rms,0.07448878888512678
std,0.07450774939931355
max,0.15619441702854198
diff_std,0.1879172803595929
ac_amp,0.22297117832263874
kurtosis,0.24128383104980386
mean,0.255203565106937
zcr,0.8953385490842569
