,p_value
pnn50,5.383457718237267e-10
rr_mean,9.094306365246713e-09
hr_mean,5.2122634553881745e-08
n_peaks,5.999615191540433e-08
rmssd,2.3572298905269126e-07
rr_std,1.5839987723870747e-05
skew,0.005637533762178782
kurtosis,0.08230042928707422
mean,0.2304310238297162
max,0.29914047014631034
min,0.37611200226063723
diff_std,0.47846052187538146
ac_amp,0.6018769672659712
rms,0.6026165441176632
std,0.6026461575300621
zcr,0.7146226409767555
