,p_value
pnn50,1.6719861162317746e-36
rr_mean,9.872370762485127e-33
hr_mean,1.6947023262800636e-29
n_peaks,1.8877560811257332e-27
rmssd,9.238816880150048e-20
rr_std,6.578760289231468e-17
kurtosis,4.077486632644021e-09
skew,3.360399351604954e-08
zcr,0.002741053110285745
max,0.4333793159748288
min,0.6053119661379311
diff_std,0.6638218165007357
ac_amp,0.6880164472095052
rms,0.7263910363431407
std,0.7264905507820222
mean,0.9920617152886689
