,p_value
pnn50,9.150418063237817e-31
rr_mean,1.4803919572854444e-29
hr_mean,4.613695116086638e-26
n_peaks,4.432936209442623e-25
rmssd,6.244116686724383e-19
rr_std,1.2677372087261409e-14
kurtosis,1.6672496213801493e-08
skew,3.6753115343597544e-08
max,0.09220288348940918
diff_std,0.15204755288421443
min,0.19746080913648562
ac_amp,0.35011571248292034
std,0.38460614767186363
rms,0.38461081354377735
mean,0.8813173705527416
zcr,0.950446292084634
