,p_value
rr_mean,1.4718989317993181e-05
hr_mean,4.079268934016225e-05
n_peaks,4.954541897665158e-05
pnn50,9.169704056236452e-05
rmssd,0.00035094333599658113
rr_std,0.002886207284478939
skew,0.028291232160286634
ac_amp,0.31255401572224883
kurtosis,0.3137141167847741
min,0.4170121434381664
max,0.5098108658943152
mean,0.654044309414427
zcr,0.7113218399153789
diff_std,0.7708298528407088
rms,0.7955530394355756
std,0.7955572580069644
