,p_value
pnn50,5.591975084549353e-19
rr_mean,7.277011523109667e-18
hr_mean,4.403651658581707e-16
n_peaks,1.4481956464067689e-15
rmssd,1.4021540154880497e-12
rr_std,5.703096599943867e-10
skew,2.3787305870910507e-05
kurtosis,0.017492058323024803
max,0.19981444127348294
min,0.28667610217705125
diff_std,0.34562276077951626
ac_amp,0.5256473283814358
rms,0.5752868412173848
std,0.5753248306738925
mean,0.6914392097212125
zcr,0.9857557580782041
