,p_value
pnn50,1.9147371968654527e-15
rr_mean,8.754000171975426e-15
hr_mean,1.2110738846792039e-12
n_peaks,1.3690312608329632e-11
rmssd,1.9987472636440633e-09
rr_std,1.6615131706880144e-07
skew,3.231017552587303e-05
kurtosis,0.0018033925233121024
max,0.18254886595809233
min,0.27061385297633594
diff_std,0.29766170175671364
rms,0.49072709117314905
std,0.4907631707145307
mean,0.804083362255413
ac_amp,0.9165421136641507
zcr,0.9521790823656667
