,p_value
rr_mean,4.2735289944958495e-09
pnn50,5.570640428508644e-09
hr_mean,3.484119098036934e-08
n_peaks,6.854602719235432e-08
rmssd,1.408756238584239e-06
rr_std,4.16993401208577e-05
skew,0.0016810744098182196
kurtosis,0.12050623071706551
mean,0.3144990492383241
max,0.37565940345854876
min,0.47035661832360665
diff_std,0.49940017091608313
rms,0.6318652772059228
std,0.6318985632540646
ac_amp,0.8707006756739404
zcr,0.9052061360180343
