,p_value
pnn50,1.1623588976020305e-21
rr_mean,1.996682107536217e-20
hr_mean,1.4565692210655234e-18
n_peaks,8.953791948864461e-17
rmssd,3.1599549789846935e-14
rr_std,2.4591686721242373e-11
kurtosis,1.011078232356179e-06
skew,4.344398240085494e-05
mean,0.2097356027989582
max,0.3224703528224621
min,0.443842898962607
diff_std,0.5561768780553744
ac_amp,0.6244420786376346
zcr,0.6489315150649254
std,0.7029488830296113
rms,0.7029558411163996
