,p_value
pnn50,1.5938014375346245e-72
rr_mean,4.098421560082495e-66
hr_mean,1.5950731864093704e-59
n_peaks,3.203039809216744e-56
rmssd,4.411308412242868e-43
rr_std,2.2967856701348453e-38
kurtosis,7.817237325897052e-24
skew,4.858322452778763e-15
zcr,4.4617863098333966e-07
max,0.12446381538362748
min,0.24632026363941392
ac_amp,0.36783597937244594
rms,0.41373996491254134
std,0.4138219675557666
diff_std,0.4214668997307305
mean,0.9930962649747338
