,p_value
rr_mean,5.6762884333349345e-30
pnn50,9.323656195692658e-30
hr_mean,3.810422686366925e-25
n_peaks,4.357787889233098e-21
rmssd,3.347838651318656e-17
rr_std,4.70502194361423e-15
kurtosis,5.220067118270589e-12
skew,1.8009852988847634e-09
mean,0.12683848486516802
max,0.1680726143175097
diff_std,0.2267016078609249
ac_amp,0.36889749112404724
min,0.39073787132733995
std,0.5833639017005496
rms,0.5833830079508643
zcr,0.8309283483764188
