,p_value
pnn50,4.715126833790666e-13
rr_mean,4.4867261517933744e-12
hr_mean,5.6120517797805345e-11
n_peaks,7.110731070313935e-11
rmssd,4.9805635845492694e-09
rr_std,6.617423924306476e-08
skew,3.914873960576806e-05
kurtosis,0.06949076161593484
ac_amp,0.11823324605098919
max,0.34298154021306465
mean,0.36394902736057855
min,0.41525274571814086
diff_std,0.5847023541660763
std,0.6329417167720441
rms,0.6329565273293052
zcr,0.7571790826311661
