mean,std,rms,max,min,zc,ssc,wl,kurt,skew,pnn50,rr_mean,hr_mean,rmssd,n_peaks,crest_t,dwell_t,pwtf,subject,label,warmup_sec,filtered
12.498629913335728,10867.233095065272,10867.24028252949,197821.44477378562,-157106.5604933748,528,849,7557688.714794922,143.22231145876188,4.216427914576167,0.11026615969581749,0.6486425855513308,92.50086463102237,0.09951466192944283,264,0.453384030418251,0.662509505703422,0.6843434343434344,subject01,바른 자세로 앉기 / upright-sitting,5,True
3.6177473132702085,2631.2813099123823,2631.283796930663,17445.166481217148,-17975.174272372165,490,844,3082044.979834954,7.216793062203626,0.1511017724431636,0.1902834008097166,0.688344129554656,87.16570306021019,0.11412398763119667,248,0.4741700404858301,0.6866396761133603,0.6905660377358493,subject01,서 있기 / standing,5,True
-1.38935246441499,6016.71076037849,6016.710920790077,32085.17309711429,-33918.303097856144,436,622,7384020.732084642,1.30206162872165,0.4322841869685079,0.16017316017316016,0.7377186147186148,81.33182327639322,0.12841891368215333,232,0.5246753246753247,0.7712554112554114,0.6802873821284239,subject01,반듯이 눕기 / supine-lying,5,True
-8.58243818963006,3145.221297829791,3145.23300735691,17771.823289536704,-24075.886725266017,456,849,3729952.8161317017,4.621970264810149,-0.09704875682227679,0.21585903083700442,0.7471982378854625,80.29997523789311,0.07965067538003413,228,0.468421052631579,0.746140350877193,0.6277921467199624,subject01,바른 자세로 앉기 / upright-sitting,5,True
-33.61157897733155,4396.338525073798,4396.46700946219,27156.735050654643,-38080.69119793152,441,711,3139791.8749924977,17.818425204157446,-1.455637189413685,0.3063063063063063,0.7646576576576577,78.46648679854377,0.187539389527732,223,0.4800000000000001,0.7600000000000001,0.6315789473684211,subject01,서 있기 / standing,5,True
-4.991523094236719,4116.22605829025,4116.229084763199,15876.541105358026,-15616.637162075831,412,658,4581119.324344434,0.4166382791251335,0.5406247664985455,0.2545454545454545,0.7739545454545453,77.52393257767076,0.14555728210718016,221,0.524,0.8194545454545455,0.6394497448413579,subject01,반듯이 눕기 / supine-lying,5,True
-12.656969463627899,4654.968466756331,4654.985674024334,35341.143542496204,-27455.409287634837,434,831,5240605.872461166,5.180723024277766,0.6099978212704854,0.18468468468468469,0.7635000000000001,78.58546168958742,0.10951794828006554,223,0.5205381165919284,0.7782959641255606,0.6688176999308598,subject01,바른 자세로 앉기 / upright-sitting,5,True
-7.738850838096379,5158.737353673345,5158.743158366868,25719.393000539727,-33060.07933934295,453,750,5220694.841960134,4.853163619371608,-0.12193125511486409,0.3648068669527897,0.7292918454935623,82.27159040753273,0.14495037795385537,234,0.4695278969957082,0.7412875536480686,0.6333950903195925,subject01,서 있기 / standing,5,True
12.772140907655594,6200.106750817147,6200.119906026957,27016.49818905458,-26019.26933646396,423,740,7523679.532580819,-0.0860195879420318,0.5774957082249352,0.16744186046511628,0.793493023255814,75.61503156487946,0.11293671207618645,216,0.5585116279069767,0.8154418604651164,0.6849190052475472,subject01,반듯이 눕기 / supine-lying,5,True
4.790343781243888,1638.8768878160413,1638.8838887520785,6404.26762999454,-7720.8090135317825,335,533,1502069.000604347,0.33911257528653715,0.4098752110272764,0.13953488372093023,0.7115523255813951,84.3226813305335,0.06659250260734141,173,0.4393063583815029,0.7114450867052022,0.6174845628859279,subject01,upright‑sitting,5,True
-1.152787498372245,5566.523418552893,5566.523537919948,25184.21879353947,-27423.74398276265,279,444,3395957.67832283,3.679562067022733,-0.305123813467061,0.5548780487804879,0.7958963414634146,75.38670160196742,0.24449444521774172,165,0.4387804878048781,0.8068292682926829,0.543833131801693,subject01,upright‑sitting,5,True
-0.42601866483330214,3333.6315969585075,3333.631624179857,16115.420546854335,-12382.219319590979,468,764,4285457.792923884,0.651870971345907,0.26376118906610957,0.19672131147540983,0.6981434426229508,85.94222381374489,0.10311226851202272,245,0.48245901639344263,0.7083606557377049,0.6810923397361722,subject01,upright‑sitting,5,True
-11.618259473713447,4182.717144041733,4182.733279927592,19939.171832878525,-29499.775989098507,495,760,3919710.191822784,7.806650955470195,-0.6218190701075809,0.31679389312977096,0.6510381679389313,92.16049527472269,0.18280819251073552,263,0.43938931297709927,0.6862595419847328,0.6402669632925473,subject01,standing,5,True
-2.4241892687703133,3251.1317226187707,3251.1326264106337,22637.760795827628,-19024.77888987339,510,664,4519828.700623488,2.782473402946769,0.5449164574878236,0.171875,0.66437109375,90.31097313601326,0.07023908749239775,257,0.45671875,0.6621874999999999,0.6897121283624352,subject01,upright‑sitting,5,True
1.1297671127187605,5326.361871455823,5326.361991272477,39449.63352240811,-34508.001961234484,503,792,4225308.622966824,11.959690299098456,0.3685662691742531,0.48880597014925375,0.6954552238805969,86.27442564196114,0.22841807388952554,269,0.40850746268656724,0.7138805970149253,0.5722349989546311,subject01,standing,5,True
-2.0597627131325247,3860.065165842221,3860.0657153953957,11524.584385238331,-8410.33844203505,476,658,5770557.683344409,-0.6861231561433656,0.5668900850497215,0.1092436974789916,0.7156050420168065,83.84513310708458,0.04268933996720307,239,0.5127731092436973,0.7161344537815126,0.7160291011499645,subject01,supine‑lying,5,True
0.7083899840123719,3317.866423435555,3317.866499058908,18234.089111227648,-19026.318503096827,417,548,2984962.8139218576,4.990326532954186,0.4381922538322424,0.46846846846846846,0.7645855855855858,78.47388327893576,0.17459310161407213,223,0.42288288288288295,0.7845045045045046,0.5390445567294442,subject02,바른 자세로 앉기 / upright-sitting,5,True
