,precision,recall,f1-score,support
standing,0.32593457943925236,0.28440366972477066,0.30375612411540553,981.0
supine-lying,0.1962864721485411,0.09711286089238845,0.1299385425812116,762.0
upright-sitting,0.4718934911242604,0.6304347826086957,0.5397631133671743,1518.0
accuracy,0.4017172646427476,0.4017172646427476,0.4017172646427476,0.4017172646427476
macro avg,0.3313715142373513,0.3373171044086183,0.32448592668793047,3261.0
weighted avg,0.3635836963304882,0.4017172646427476,0.373001635478524,3261.0
